Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Length
1,5.1,3.5,1.4,0.2,Iris-setosa,Large
2,4.9,3.0,1.4,0.2,Iris-setosa,Small
3,4.7,3.2,1.3,0.2,Iris-setosa,Small
4,4.6,3.1,1.5,0.2,Iris-setosa,Small
5,5.0,3.6,1.4,0.2,Iris-setosa,Large
6,5.4,3.9,1.7,0.4,Iris-setosa,Large
7,4.6,3.4,1.4,0.3,Iris-setosa,Small
8,5.0,3.4,1.5,0.2,Iris-setosa,Large
9,4.4,2.9,1.4,0.2,Iris-setosa,Small
10,4.9,3.1,1.5,0.1,Iris-setosa,Small
11,5.4,3.7,1.5,0.2,Iris-setosa,Large
12,4.8,3.4,1.6,0.2,Iris-setosa,Small
13,4.8,3.0,1.4,0.1,Iris-setosa,Small
14,4.3,3.0,1.1,0.1,Iris-setosa,Small
15,5.8,4.0,1.2,0.2,Iris-setosa,Large
16,5.7,4.4,1.5,0.4,Iris-setosa,Large
17,5.4,3.9,1.3,0.4,Iris-setosa,Large
18,5.1,3.5,1.4,0.3,Iris-setosa,Large
19,5.7,3.8,1.7,0.3,Iris-setosa,Large
20,5.1,3.8,1.5,0.3,Iris-setosa,Large
21,5.4,3.4,1.7,0.2,Iris-setosa,Large
22,5.1,3.7,1.5,0.4,Iris-setosa,Large
23,4.6,3.6,1.0,0.2,Iris-setosa,Small
24,5.1,3.3,1.7,0.5,Iris-setosa,Large
25,4.8,3.4,1.9,0.2,Iris-setosa,Small
26,5.0,3.0,1.6,0.2,Iris-setosa,Large
27,5.0,3.4,1.6,0.4,Iris-setosa,Large
28,5.2,3.5,1.5,0.2,Iris-setosa,Large
29,5.2,3.4,1.4,0.2,Iris-setosa,Large
30,4.7,3.2,1.6,0.2,Iris-setosa,Small
31,4.8,3.1,1.6,0.2,Iris-setosa,Small
32,5.4,3.4,1.5,0.4,Iris-setosa,Large
33,5.2,4.1,1.5,0.1,Iris-setosa,Large
34,5.5,4.2,1.4,0.2,Iris-setosa,Large
35,4.9,3.1,1.5,0.1,Iris-setosa,Small
36,5.0,3.2,1.2,0.2,Iris-setosa,Large
37,5.5,3.5,1.3,0.2,Iris-setosa,Large
38,4.9,3.1,1.5,0.1,Iris-setosa,Small
39,4.4,3.0,1.3,0.2,Iris-setosa,Small
40,5.1,3.4,1.5,0.2,Iris-setosa,Large
41,5.0,3.5,1.3,0.3,Iris-setosa,Large
42,4.5,2.3,1.3,0.3,Iris-setosa,Small
43,4.4,3.2,1.3,0.2,Iris-setosa,Small
44,5.0,3.5,1.6,0.6,Iris-setosa,Large
45,5.1,3.8,1.9,0.4,Iris-setosa,Large
46,4.8,3.0,1.4,0.3,Iris-setosa,Small
47,5.1,3.8,1.6,0.2,Iris-setosa,Large
48,4.6,3.2,1.4,0.2,Iris-setosa,Small
49,5.3,3.7,1.5,0.2,Iris-setosa,Large
50,5.0,3.3,1.4,0.2,Iris-setosa,Large
51,7.0,3.2,4.7,1.4,Iris-versicolor,Large
52,6.4,3.2,4.5,1.5,Iris-versicolor,Large
53,6.9,3.1,4.9,1.5,Iris-versicolor,Large
54,5.5,2.3,4.0,1.3,Iris-versicolor,Large
55,6.5,2.8,4.6,1.5,Iris-versicolor,Large
56,5.7,2.8,4.5,1.3,Iris-versicolor,Large
57,6.3,3.3,4.7,1.6,Iris-versicolor,Large
58,4.9,2.4,3.3,1.0,Iris-versicolor,Small
59,6.6,2.9,4.6,1.3,Iris-versicolor,Large
60,5.2,2.7,3.9,1.4,Iris-versicolor,Large
61,5.0,2.0,3.5,1.0,Iris-versicolor,Large
62,5.9,3.0,4.2,1.5,Iris-versicolor,Large
63,6.0,2.2,4.0,1.0,Iris-versicolor,Large
64,6.1,2.9,4.7,1.4,Iris-versicolor,Large
65,5.6,2.9,3.6,1.3,Iris-versicolor,Large
66,6.7,3.1,4.4,1.4,Iris-versicolor,Large
67,5.6,3.0,4.5,1.5,Iris-versicolor,Large
68,5.8,2.7,4.1,1.0,Iris-versicolor,Large
69,6.2,2.2,4.5,1.5,Iris-versicolor,Large
70,5.6,2.5,3.9,1.1,Iris-versicolor,Large
71,5.9,3.2,4.8,1.8,Iris-versicolor,Large
72,6.1,2.8,4.0,1.3,Iris-versicolor,Large
73,6.3,2.5,4.9,1.5,Iris-versicolor,Large
74,6.1,2.8,4.7,1.2,Iris-versicolor,Large
75,6.4,2.9,4.3,1.3,Iris-versicolor,Large
76,6.6,3.0,4.4,1.4,Iris-versicolor,Large
77,6.8,2.8,4.8,1.4,Iris-versicolor,Large
78,6.7,3.0,5.0,1.7,Iris-versicolor,Large
79,6.0,2.9,4.5,1.5,Iris-versicolor,Large
80,5.7,2.6,3.5,1.0,Iris-versicolor,Large
81,5.5,2.4,3.8,1.1,Iris-versicolor,Large
82,5.5,2.4,3.7,1.0,Iris-versicolor,Large
83,5.8,2.7,3.9,1.2,Iris-versicolor,Large
84,6.0,2.7,5.1,1.6,Iris-versicolor,Large
85,5.4,3.0,4.5,1.5,Iris-versicolor,Large
86,6.0,3.4,4.5,1.6,Iris-versicolor,Large
87,6.7,3.1,4.7,1.5,Iris-versicolor,Large
88,6.3,2.3,4.4,1.3,Iris-versicolor,Large
89,5.6,3.0,4.1,1.3,Iris-versicolor,Large
90,5.5,2.5,4.0,1.3,Iris-versicolor,Large
91,5.5,2.6,4.4,1.2,Iris-versicolor,Large
92,6.1,3.0,4.6,1.4,Iris-versicolor,Large
93,5.8,2.6,4.0,1.2,Iris-versicolor,Large
94,5.0,2.3,3.3,1.0,Iris-versicolor,Large
95,5.6,2.7,4.2,1.3,Iris-versicolor,Large
96,5.7,3.0,4.2,1.2,Iris-versicolor,Large
97,5.7,2.9,4.2,1.3,Iris-versicolor,Large
98,6.2,2.9,4.3,1.3,Iris-versicolor,Large
99,5.1,2.5,3.0,1.1,Iris-versicolor,Large
100,5.7,2.8,4.1,1.3,Iris-versicolor,Large
101,6.3,3.3,6.0,2.5,Iris-virginica,Large
102,5.8,2.7,5.1,1.9,Iris-virginica,Large
103,7.1,3.0,5.9,2.1,Iris-virginica,Large
104,6.3,2.9,5.6,1.8,Iris-virginica,Large
105,6.5,3.0,5.8,2.2,Iris-virginica,Large
106,7.6,3.0,6.6,2.1,Iris-virginica,Large
107,4.9,2.5,4.5,1.7,Iris-virginica,Small
108,7.3,2.9,6.3,1.8,Iris-virginica,Large
109,6.7,2.5,5.8,1.8,Iris-virginica,Large
110,7.2,3.6,6.1,2.5,Iris-virginica,Large
111,6.5,3.2,5.1,2.0,Iris-virginica,Large
112,6.4,2.7,5.3,1.9,Iris-virginica,Large
113,6.8,3.0,5.5,2.1,Iris-virginica,Large
114,5.7,2.5,5.0,2.0,Iris-virginica,Large
115,5.8,2.8,5.1,2.4,Iris-virginica,Large
116,6.4,3.2,5.3,2.3,Iris-virginica,Large
117,6.5,3.0,5.5,1.8,Iris-virginica,Large
118,7.7,3.8,6.7,2.2,Iris-virginica,Large
119,7.7,2.6,6.9,2.3,Iris-virginica,Large
120,6.0,2.2,5.0,1.5,Iris-virginica,Large
121,6.9,3.2,5.7,2.3,Iris-virginica,Large
122,5.6,2.8,4.9,2.0,Iris-virginica,Large
123,7.7,2.8,6.7,2.0,Iris-virginica,Large
124,6.3,2.7,4.9,1.8,Iris-virginica,Large
125,6.7,3.3,5.7,2.1,Iris-virginica,Large
126,7.2,3.2,6.0,1.8,Iris-virginica,Large
127,6.2,2.8,4.8,1.8,Iris-virginica,Large
128,6.1,3.0,4.9,1.8,Iris-virginica,Large
129,6.4,2.8,5.6,2.1,Iris-virginica,Large
130,7.2,3.0,5.8,1.6,Iris-virginica,Large
131,7.4,2.8,6.1,1.9,Iris-virginica,Large
132,7.9,3.8,6.4,2.0,Iris-virginica,Large
133,6.4,2.8,5.6,2.2,Iris-virginica,Large
134,6.3,2.8,5.1,1.5,Iris-virginica,Large
135,6.1,2.6,5.6,1.4,Iris-virginica,Large
136,7.7,3.0,6.1,2.3,Iris-virginica,Large
137,6.3,3.4,5.6,2.4,Iris-virginica,Large
138,6.4,3.1,5.5,1.8,Iris-virginica,Large
139,6.0,3.0,4.8,1.8,Iris-virginica,Large
140,6.9,3.1,5.4,2.1,Iris-virginica,Large
141,6.7,3.1,5.6,2.4,Iris-virginica,Large
142,6.9,3.1,5.1,2.3,Iris-virginica,Large
143,5.8,2.7,5.1,1.9,Iris-virginica,Large
144,6.8,3.2,5.9,2.3,Iris-virginica,Large
145,6.7,3.3,5.7,2.5,Iris-virginica,Large
146,6.7,3.0,5.2,2.3,Iris-virginica,Large
147,6.3,2.5,5.0,1.9,Iris-virginica,Large
148,6.5,3.0,5.2,2.0,Iris-virginica,Large
149,6.2,3.4,5.4,2.3,Iris-virginica,Large
150,5.9,3.0,5.1,1.8,Iris-virginica,Large
